CERT,NAME,CITY,STNAME,ZIP,ADDRESS,BKCLASS,CHARTER,ACTIVE,INSDATE,REGAGENT,ASSET,DEP,LATITUDE,LONGITUDE,WEBADDR
10821,Clay County State Bank,Louisville,Illinois,62858,111 N Church St,NM,0,1,01/01/1934,,103486,91021,38.7722929840778,-88.5029740298646,www.claycobank.com
10829,"Petefish, Skiles & Co.",Virginia,Illinois,62691,102 W Beardstown St,NM,0,1,01/01/1934,,463899,404767,39.950276981085,-90.211872006865,https://www.petefishskiles.com
10831,"The First Trust and Savings Bank of Watseka, Illinois",Watseka,Illinois,60970,120 E Walnut St,SM,0,1,01/01/1934,,315968,265759,40.7765059875215,-87.7334109636645,www.ftsbank.com
10840,Campus State Bank,Campus,Illinois,60920,206 Center St,NM,0,1,01/01/1934,,25694,22516,41.0253190114281,-88.3076190242114,www.campustatebank.com
10843,Citizens Bank of Chatsworth,Chatsworth,Illinois,60921,502 E Locust St,NM,0,1,01/01/1934,,36946,32890,40.7540499888146,-88.2901389842341,www.bankatcbc.com
10844,Buena Vista National Bank,Chester,Illinois,62233,1309 Swanwick St,N,14479,1,01/01/1934,,311561,262954,37.9149780133343,-89.8211449802952,www.bvnb.com
10845,The Clay City Banking Co.,Clay City,Illinois,62824,331 S Main St,NM,0,1,01/01/1934,,233998,210756,38.6878469859659,-88.353731980712,www.claycitybanking.bank
10849,Tompkins State Bank,Avon,Illinois,61415,117 S Main St,NM,0,1,01/01/1934,,302376,273047,40.6610329917916,-90.435372018458,www.tompkinsstatebank.com
10853,West Central Bank,Ashland,Illinois,62612,400 E Buchanan St,NM,0,1,01/01/1934,,248431,204456,39.8920010029767,-90.0026189675567,www.westcentralbank.com
10855,State Bank of Bement,Bement,Illinois,61813,180 E Bodman St,NM,0,1,01/01/1934,,181425,160468,39.9226360208926,-88.5709840378589,www.bankbement.com
10858,Anderson State Bank,Oneida,Illinois,61467,111 W Highway St,NM,0,1,01/01/1934,,117486,99625,41.0751150180936,-90.2253940283439,www.andersonstatebank.com
1086,The Bank of Versailles,Versailles,Missouri,65084,113 E Newton St,SM,0,1,01/01/1934,,350241,260423,38.4316553877132,-92.8413485484447,bankov.com
10860,Murphy-Wall State Bank and Trust Company,Pinckneyville,Illinois,62274,105 E Water St,NM,0,1,01/01/1934,,202665,180452,38.080482253842,-89.380557196858,www.murphywall.com
10871,First State Bank of Beecher City,Beecher City,Illinois,62414,101 S Charles St,NM,0,1,01/01/1934,,107482,90265,39.1869459856241,-88.787238983804,www.fsbbc.com
10872,Chesterfield State Bank,Chesterfield,Illinois,62630,25 S Main St,NM,0,1,01/01/1934,,21727,19591,39.254316321917,-90.0637810162948,
